sede_sise,distancia_km,cod_mod,nombre_colegio,gestion,tipo_gestion,provincia,distrito,direccion,latitud,longitud
SISE COMAS,0.84,0884551,3081 ALMIRANTE MIGUEL GRAU SEMINARIO,P£blica de gesti¢n directa,Público,LIMA,SAN MARTIN DE PORRES,JIRON BENJAMIN QUIROGA S/N,-12.0168,-77.07513
SISE INDEPENDENCIA,3.41,0884551,3081 ALMIRANTE MIGUEL GRAU SEMINARIO,P£blica de gesti¢n directa,Público,LIMA,SAN MARTIN DE PORRES,JIRON BENJAMIN QUIROGA S/N,-12.0168,-77.07513
SISE COMAS,4.99,0437293,NACIONAL RIMAC,P£blica de gesti¢n directa,Público,LIMA,RIMAC,AVENIDA SANCHO DAVILA,-12.01898,-77.03552
SISE INDEPENDENCIA,4.11,0437293,NACIONAL RIMAC,P£blica de gesti¢n directa,Público,LIMA,RIMAC,AVENIDA SANCHO DAVILA,-12.01898,-77.03552
SISE SAN JUAN DE LURIGANCHO,3.4,0437293,NACIONAL RIMAC,P£blica de gesti¢n directa,Público,LIMA,RIMAC,AVENIDA SANCHO DAVILA,-12.01898,-77.03552
SISE SAN JUAN DE LURIGANCHO,3.83,0437244,RICARDO BENTIN,P£blica de gesti¢n directa,Público,LIMA,RIMAC,AVENIDA RICARDO BENTIN 391,-12.0304,-77.03694
SISE COMAS,3.54,0434993,SAN ANTONIO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON CARLOS GRA¥A 101,-12.03045,-77.05446
SISE INDEPENDENCIA,4.5,0434993,SAN ANTONIO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON CARLOS GRA¥A 101,-12.03045,-77.05446
SISE COMAS,1.29,0884734,HARVARD SCHOOL S.M.P.,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA FRAY BARTOLOME DE LAS CASAS 584,-12.023256,-77.080931
SISE INDEPENDENCIA,4.35,0884734,HARVARD SCHOOL S.M.P.,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA FRAY BARTOLOME DE LAS CASAS 584,-12.023256,-77.080931
SISE COMAS,3.04,0884817,JUANA MARLENE URIBE ROMERO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ A LOTE 27-28-29-3,-11.98742,-77.09364
SISE INDEPENDENCIA,3.74,0884817,JUANA MARLENE URIBE ROMERO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ A LOTE 27-28-29-3,-11.98742,-77.09364
SISE COMAS,1.56,0885194,SANTA ANGELA MERICE,Privada,Privado,LIMA,LOS OLIVOS,JIRON HUASCAR 561,-12.00488,-77.0682
SISE INDEPENDENCIA,1.89,0885194,SANTA ANGELA MERICE,Privada,Privado,LIMA,LOS OLIVOS,JIRON HUASCAR 561,-12.00488,-77.0682
SISE COMAS,3.0,0885228,VILLA LOS ANGELES,Privada,Privado,LIMA,LOS OLIVOS,MZ HI LOTE 1,-12.011869,-77.053143
SISE INDEPENDENCIA,2.5,0885228,VILLA LOS ANGELES,Privada,Privado,LIMA,LOS OLIVOS,MZ HI LOTE 1,-12.011869,-77.053143
SISE COMAS,2.31,0885483,SANTIAGO ANTUNEZ DE MAYOLO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,CALLE JOSE DE LA TORRE UGARTE 269,-12.02417,-77.06377
SISE INDEPENDENCIA,3.8,0885483,SANTIAGO ANTUNEZ DE MAYOLO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,CALLE JOSE DE LA TORRE UGARTE 269,-12.02417,-77.06377
SISE COMAS,2.83,1241579,WILHELM VON HUMBOLDT,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON NICOLAS DE PIEROLA 396,-12.0278,-77.0606
SISE INDEPENDENCIA,4.18,1241579,WILHELM VON HUMBOLDT,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON NICOLAS DE PIEROLA 396,-12.0278,-77.0606
SISE COMAS,1.34,1223627,APOSTOL SANTIAGO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON ALBERTO BARTON 313,-12.02365,-77.07912
SISE INDEPENDENCIA,4.29,1223627,APOSTOL SANTIAGO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON ALBERTO BARTON 313,-12.02365,-77.07912
SISE COMAS,3.59,1242379,SAN MARCELO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ C LOTE 5-13,-11.9934,-77.10795
SISE INDEPENDENCIA,4.68,1247634,SAN JUAN BAUTISTA - RIMAC,Privada,Privado,LIMA,RIMAC,MZ A LOTE 07,-12.02184,-77.03097
SISE SAN JUAN DE LURIGANCHO,2.94,1247634,SAN JUAN BAUTISTA - RIMAC,Privada,Privado,LIMA,RIMAC,MZ A LOTE 07,-12.02184,-77.03097
SISE COMAS,3.5,1247832,3082 PARAISO FLORIDO,P£blica de gesti¢n directa,Público,LIMA,SAN MARTIN DE PORRES,CALLE 3 S/N,-11.9876,-77.1014
SISE INDEPENDENCIA,4.58,1247832,3082 PARAISO FLORIDO,P£blica de gesti¢n directa,Público,LIMA,SAN MARTIN DE PORRES,CALLE 3 S/N,-11.9876,-77.1014
SISE COMAS,3.58,1247998,SIR ISAAC NEWTON,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA LAS ALMENDRAS 293,-11.98601,-77.06094
SISE INDEPENDENCIA,0.5,1247998,SIR ISAAC NEWTON,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA LAS ALMENDRAS 293,-11.98601,-77.06094
SISE COMAS,2.96,1248277,EL APOSENTO ALTO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA TUPAC AMARU 6995,-12.00395,-77.05472
SISE INDEPENDENCIA,1.6,1248277,EL APOSENTO ALTO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA TUPAC AMARU 6995,-12.00395,-77.05472
SISE COMAS,2.11,1248392,SAN VICENTE FERRER,P£blica de gesti¢n privada,Privado,LIMA,LOS OLIVOS,CALLE CABANA CUADRA 4,-11.99345,-77.0756
SISE INDEPENDENCIA,1.8,1248392,SAN VICENTE FERRER,P£blica de gesti¢n privada,Privado,LIMA,LOS OLIVOS,CALLE CABANA CUADRA 4,-11.99345,-77.0756
SISE COMAS,3.93,1248558,MONITOR HUASCAR,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ H LOTE 2-3-18 Y 19,-11.97989,-77.09656
SISE INDEPENDENCIA,4.21,1248558,MONITOR HUASCAR,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ H LOTE 2-3-18 Y 19,-11.97989,-77.09656
SISE COMAS,4.92,1261544,SANTA MARIA,Privada,Privado,LIMA,RIMAC,MZ T LOTE 6,-12.01477,-77.03566
SISE INDEPENDENCIA,3.75,1261544,SANTA MARIA,Privada,Privado,LIMA,RIMAC,MZ T LOTE 6,-12.01477,-77.03566
SISE SAN JUAN DE LURIGANCHO,3.42,1261544,SANTA MARIA,Privada,Privado,LIMA,RIMAC,MZ T LOTE 6,-12.01477,-77.03566
SISE COMAS,4.36,1261627,CARLO MARTIN ACEVEDO ROSALES,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ E LOTE 11-23,-11.9904,-77.1144
SISE COMAS,4.87,1261759,LATINOAMERICANO,Privada,Privado,LIMA,LOS OLIVOS,MZ P LOTE 1-2 ETAPA I,-11.9679,-77.0827
SISE INDEPENDENCIA,3.55,1261759,LATINOAMERICANO,Privada,Privado,LIMA,LOS OLIVOS,MZ P LOTE 1-2 ETAPA I,-11.9679,-77.0827
SISE COMAS,2.16,1261874,SANTA ISABEL,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON IQUITOS 487,-12.03062,-77.08522
SISE COMAS,2.86,1261908,SE¥OR DE LA SOLEDAD,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON FRANCISCO DE MIRANDA 188,-12.028043,-77.06046
SISE INDEPENDENCIA,4.2,1261908,SE¥OR DE LA SOLEDAD,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON FRANCISCO DE MIRANDA 188,-12.028043,-77.06046
SISE COMAS,3.43,1262476,SAN MARTIN DE PORRES,Privada,Privado,LIMA,INDEPENDENCIA,JIRON HERMANOS TOLEDO 141 MZ C LOTE 27,-11.992503,-77.056087
SISE INDEPENDENCIA,0.44,1262476,SAN MARTIN DE PORRES,Privada,Privado,LIMA,INDEPENDENCIA,JIRON HERMANOS TOLEDO 141 MZ C LOTE 27,-11.992503,-77.056087
SISE COMAS,3.59,1262559,RODMAR SCHOOL,Privada,Privado,LIMA,SAN MARTIN DE PORRES,CALLE NICANOR GARCIA Y LASTRES 238,-12.026833,-77.051583
SISE INDEPENDENCIA,4.15,1262559,RODMAR SCHOOL,Privada,Privado,LIMA,SAN MARTIN DE PORRES,CALLE NICANOR GARCIA Y LASTRES 238,-12.026833,-77.051583
SISE COMAS,1.3,1262799,SAN ANTONIO ABAD,Privada,Privado,LIMA,LOS OLIVOS,CALLE 32 HIPOLITO UNANUE S/N MZ H LOTE 10 ETAPA III,-12.00647,-77.07003
SISE INDEPENDENCIA,2.14,1262799,SAN ANTONIO ABAD,Privada,Privado,LIMA,LOS OLIVOS,CALLE 32 HIPOLITO UNANUE S/N MZ H LOTE 10 ETAPA III,-12.00647,-77.07003
SISE COMAS,2.26,1262872,SAN BENITO DE PALERMO II,Privada,Privado,LIMA,LOS OLIVOS,JIRON MARTE 7457,-11.99912,-77.06439
SISE INDEPENDENCIA,1.13,1262872,SAN BENITO DE PALERMO II,Privada,Privado,LIMA,LOS OLIVOS,JIRON MARTE 7457,-11.99912,-77.06439
SISE COMAS,3.81,1263623,PEDRO PAULET,Privada,Privado,LIMA,INDEPENDENCIA,AVENIDA LOS AMAUTAS 205,-11.9925,-77.05175
SISE INDEPENDENCIA,0.87,1263623,PEDRO PAULET,Privada,Privado,LIMA,INDEPENDENCIA,AVENIDA LOS AMAUTAS 205,-11.9925,-77.05175
SISE COMAS,3.78,1263789,MICHEL DUCLERCQ,Privada,Privado,LIMA,LOS OLIVOS,AVENIDA NARANJAL 1313 MZ E-3 LOTE 3,-11.97769,-77.07979
SISE INDEPENDENCIA,2.62,1263789,MICHEL DUCLERCQ,Privada,Privado,LIMA,LOS OLIVOS,AVENIDA NARANJAL 1313 MZ E-3 LOTE 3,-11.97769,-77.07979
SISE INDEPENDENCIA,4.62,1264076,LOS SIERVOS DE JESUS,Privada,Privado,LIMA,RIMAC,JIRON ALEJANDRO AYARZA 198,-12.0196,-77.0293
SISE SAN JUAN DE LURIGANCHO,2.73,1264076,LOS SIERVOS DE JESUS,Privada,Privado,LIMA,RIMAC,JIRON ALEJANDRO AYARZA 198,-12.0196,-77.0293
SISE COMAS,1.95,1264183,SKHOLE PAIDEA DE LOS OLIVOS,Privada,Privado,LIMA,LOS OLIVOS,JIRON POMABAMBA 1201,-11.99457,-77.07712
SISE INDEPENDENCIA,1.99,1264183,SKHOLE PAIDEA DE LOS OLIVOS,Privada,Privado,LIMA,LOS OLIVOS,JIRON POMABAMBA 1201,-11.99457,-77.07712
SISE INDEPENDENCIA,3.38,1271196,SAN ANTONIO DE JESUS,Privada,Privado,LIMA,LOS OLIVOS,JIRON GERMAN VIZCARRA S/N MZ P LOTE 23,-11.9632,-77.07345
SISE COMAS,2.74,1481241,LOS DOMINICOS DE PALAO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON SAN JUAN BAUTISTA 273,-12.01576,-77.05589
SISE INDEPENDENCIA,2.86,1481241,LOS DOMINICOS DE PALAO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON SAN JUAN BAUTISTA 273,-12.01576,-77.05589
SISE COMAS,2.79,1481258,SANTA ANA DE LOS JARDINES,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON LOS TAMARINDOS 335,-12.01399,-77.05519
SISE INDEPENDENCIA,2.68,1481258,SANTA ANA DE LOS JARDINES,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON LOS TAMARINDOS 335,-12.01399,-77.05519
SISE COMAS,0.55,1481266,NUESTRA SE¥ORA DE LA PAZ,Privada,Privado,LIMA,SAN MARTIN DE PORRES,CALLE MANUEL CLAVERO 2241,-12.0112,-77.08578
SISE INDEPENDENCIA,3.7,1481266,NUESTRA SE¥ORA DE LA PAZ,Privada,Privado,LIMA,SAN MARTIN DE PORRES,CALLE MANUEL CLAVERO 2241,-12.0112,-77.08578
SISE COMAS,1.63,1481274,EDMUND HALLEY,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON AUGUSTO AGUIRRE 3068,-12.02591,-77.07715
SISE INDEPENDENCIA,4.41,1481274,EDMUND HALLEY,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON AUGUSTO AGUIRRE 3068,-12.02591,-77.07715
SISE COMAS,2.42,1481357,SAN VALENTIN,Privada,Privado,LIMA,LOS OLIVOS,AVENIDA MANUEL GONZALES PRADA MZ B LOTE 1,-11.99261,-77.07004
SISE INDEPENDENCIA,1.19,1481357,SAN VALENTIN,Privada,Privado,LIMA,LOS OLIVOS,AVENIDA MANUEL GONZALES PRADA MZ B LOTE 1,-11.99261,-77.07004
SISE COMAS,1.73,1481464,NUESTRA SE¥ORA DE MONSERRAT DE MAYOLO,Privada,Privado,LIMA,LOS OLIVOS,AVENIDA CARLOS IZAGUIRRE 479,-11.99615,-77.08086
SISE INDEPENDENCIA,2.43,1481464,NUESTRA SE¥ORA DE MONSERRAT DE MAYOLO,Privada,Privado,LIMA,LOS OLIVOS,AVENIDA CARLOS IZAGUIRRE 479,-11.99615,-77.08086
SISE COMAS,3.63,1481514,FRANKLIN ROOSEVELT,Privada,Privado,LIMA,LOS OLIVOS,JIRON LOS AMARANTOS 929,-11.99906,-77.04995
SISE INDEPENDENCIA,1.42,1481514,FRANKLIN ROOSEVELT,Privada,Privado,LIMA,LOS OLIVOS,JIRON LOS AMARANTOS 929,-11.99906,-77.04995
SISE COMAS,3.23,1481530,SAN MARCOS,Privada,Privado,LIMA,LOS OLIVOS,MZ R LOTE 2,-11.98264,-77.07993
SISE INDEPENDENCIA,2.39,1481530,SAN MARCOS,Privada,Privado,LIMA,LOS OLIVOS,MZ R LOTE 2,-11.98264,-77.07993
SISE COMAS,1.86,1481647,VIRGEN DE LAS MERCEDES DEL TREBOL,Privada,Privado,LIMA,LOS OLIVOS,JIRON ATAHUALPA 385,-12.00312,-77.06607
SISE INDEPENDENCIA,1.6,1481647,VIRGEN DE LAS MERCEDES DEL TREBOL,Privada,Privado,LIMA,LOS OLIVOS,JIRON ATAHUALPA 385,-12.00312,-77.06607
SISE SAN JUAN DE LURIGANCHO,4.3,1481720,PASTORCITOS DE BELEN,Privada,Privado,LIMA,RIMAC,JIRON GENERAL VIDAL 225,-12.03484,-77.03957
SISE SANTA BEATRIZ,4.78,1481720,PASTORCITOS DE BELEN,Privada,Privado,LIMA,RIMAC,JIRON GENERAL VIDAL 225,-12.03484,-77.03957
SISE COMAS,4.81,1481795,LORD BRAIN,Privada,Privado,LIMA,SAN MARTIN DE PORRES,CALLE 4B MZ C LOTE 19 Y 39 ETAPA II,-11.97131,-77.09665
SISE INDEPENDENCIA,4.57,1481795,LORD BRAIN,Privada,Privado,LIMA,SAN MARTIN DE PORRES,CALLE 4B MZ C LOTE 19 Y 39 ETAPA II,-11.97131,-77.09665
SISE INDEPENDENCIA,2.13,1481811,SAN IGNACIO DE INGENIERIA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON ANTONIO GARLAND 625,-11.983244,-77.041113
SISE COMAS,3.42,1481746,DANTE ALIGHIERI,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA LOS ALISOS MZ Q1 LOTE 2,-11.9825,-77.09075
SISE INDEPENDENCIA,3.52,1481746,DANTE ALIGHIERI,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA LOS ALISOS MZ Q1 LOTE 2,-11.9825,-77.09075
SISE COMAS,2.57,1482033,LUIS PARDO NOVOA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON CHINCHA 362,-12.00255,-77.05903
SISE INDEPENDENCIA,1.37,1482033,LUIS PARDO NOVOA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON CHINCHA 362,-12.00255,-77.05903
SISE COMAS,2.7,1482066,MAETERLINCK MAURICIO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ Q LOTE 2,-11.9878,-77.08512
SISE INDEPENDENCIA,2.81,1482066,MAETERLINCK MAURICIO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ Q LOTE 2,-11.9878,-77.08512
SISE COMAS,2.47,1482090,SANTISIMA VIRGEN DEL CAMINO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON LOS PINOS 149,-12.0281,-77.0654
SISE INDEPENDENCIA,4.26,1482090,SANTISIMA VIRGEN DEL CAMINO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON LOS PINOS 149,-12.0281,-77.0654
SISE COMAS,2.99,1482124,SAN JUAN BOSCO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ Y LOTE 01-02,-11.9877,-77.09315
SISE INDEPENDENCIA,3.69,1482124,SAN JUAN BOSCO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ Y LOTE 01-02,-11.9877,-77.09315
SISE SAN JUAN DE LURIGANCHO,2.99,1482140,JUAN WOLFGANG GOETHE,Privada,Privado,LIMA,SAN MARTIN DE PORRES,LOS LIBERTADORES MZ HV. LOTE 7,-12.0255,-77.0305
SISE SAN JUAN DE LURIGANCHO,3.66,0878496,SANTA ROSA DE QUIVES,Privada,Privado,LIMA,RIMAC,JIRON MACHUPICCHU 423,-12.03232,-77.03425
SISE COMAS,1.58,1482355,NUESTRA SE¥ORA DE MONSERRAT DE SANTA APOLONIA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ M LOTE 11-12,-12.00413,-77.09306
SISE INDEPENDENCIA,3.98,1482355,NUESTRA SE¥ORA DE MONSERRAT DE SANTA APOLONIA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ M LOTE 11-12,-12.00413,-77.09306
SISE INDEPENDENCIA,4.98,1482439,NUESTRA SE¥ORA DE LAS MERCEDES DEL BOSQUE,Privada,Privado,LIMA,RIMAC,CALLE 14 292-298,-12.025821,-77.031486
SISE SAN JUAN DE LURIGANCHO,3.1,1482439,NUESTRA SE¥ORA DE LAS MERCEDES DEL BOSQUE,Privada,Privado,LIMA,RIMAC,CALLE 14 292-298,-12.025821,-77.031486
SISE COMAS,2.73,1482454,LEONARDO DE PISA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ E LOTE 2,-11.98842,-77.0887
SISE INDEPENDENCIA,3.2,1482454,LEONARDO DE PISA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ E LOTE 2,-11.98842,-77.0887
SISE COMAS,0.72,1482462,MAX SCHELER EIRL,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA ANGELICA GAMARRA 2244,-12.00833,-77.08644
SISE INDEPENDENCIA,3.56,1482462,MAX SCHELER EIRL,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA ANGELICA GAMARRA 2244,-12.00833,-77.08644
SISE COMAS,3.05,1482686,PADRE CHAMPAGNAT DE LOS OLIVOS,Privada,Privado,LIMA,LOS OLIVOS,JIRON IGNACIO MERINO 3876,-11.9884,-77.06591
SISE INDEPENDENCIA,0.74,1482686,PADRE CHAMPAGNAT DE LOS OLIVOS,Privada,Privado,LIMA,LOS OLIVOS,JIRON IGNACIO MERINO 3876,-11.9884,-77.06591
SISE INDEPENDENCIA,4.57,1482785,KENNEDY,Privada,Privado,LIMA,SAN MARTIN DE PORRES,CALLE SANTA ANGELICA 290,-11.95036,-77.0696
SISE INDEPENDENCIA,3.67,1482892,LA RECOLETA DE LOS OLIVOS,Privada,Privado,LIMA,LOS OLIVOS,AVENIDA CENTRAL 333,-11.95897,-77.07023
SISE COMAS,4.92,1482900,FRANCISCA DIEZ CANSECO DE CASTILLA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ D LOTE 1,-11.97188,-77.1004
SISE INDEPENDENCIA,4.91,1482900,FRANCISCA DIEZ CANSECO DE CASTILLA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ D LOTE 1,-11.97188,-77.1004
SISE COMAS,1.35,1482975,TRILCE LOS OLIVOS,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA TOMAS VALLE 841-843-845,-12.01061,-77.06843
SISE INDEPENDENCIA,2.47,1482975,TRILCE LOS OLIVOS,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA TOMAS VALLE 841-843-845,-12.01061,-77.06843
SISE COMAS,4.41,1483056,LUMBRERA,Privada,Privado,LIMA,INDEPENDENCIA,CALLE CHAN CHAN 160,-11.9816,-77.05438
SISE INDEPENDENCIA,1.11,1483056,LUMBRERA,Privada,Privado,LIMA,INDEPENDENCIA,CALLE CHAN CHAN 160,-11.9816,-77.05438
SISE INDEPENDENCIA,4.23,1483213,CONSUELO VALLEJOS,Privada,Privado,LIMA,LOS OLIVOS,AVENIDA ALFREDO MENDIOLA 1617,-11.95436,-77.07228
SISE COMAS,0.45,1483239,SAN AGUSTIN DE ANTARES,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON GUILLERMO MOORE MZ O LOTE 14,-12.009792,-77.08447
SISE INDEPENDENCIA,3.49,1483239,SAN AGUSTIN DE ANTARES,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON GUILLERMO MOORE MZ O LOTE 14,-12.009792,-77.08447
SISE COMAS,3.84,1483270,CORAZON DE MARIA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON LOS RUIBARES 303-306,-11.9828,-77.06143
SISE INDEPENDENCIA,0.86,1483270,CORAZON DE MARIA,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON LOS RUIBARES 303-306,-11.9828,-77.06143
SISE COMAS,3.64,1483338,CHARLES BUHLER,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON GARCIA Y LASTRES 215,-12.02665,-77.05103
SISE INDEPENDENCIA,4.15,1483338,CHARLES BUHLER,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON GARCIA Y LASTRES 215,-12.02665,-77.05103
SISE INDEPENDENCIA,2.02,1483346,MANUEL ASCENCIO SEGURA,Privada,Privado,LIMA,INDEPENDENCIA,JIRON YAURI 192-194 ZONA III,-11.9807,-77.0436
SISE COMAS,4.25,0437426,BERTOLT BRECHT,Privada,Privado,LIMA,LIMA,AVENIDA COLONIAL 2798,-12.04986,-77.07887
SISE SAN MIGUEL,3.32,0437426,BERTOLT BRECHT,Privada,Privado,LIMA,LIMA,AVENIDA COLONIAL 2798,-12.04986,-77.07887
SISE COMAS,1.94,1483361,MATER MARIA DE LOS ANGELES,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON ANCASH 3683,-12.02809,-77.08678
SISE SAN MIGUEL,1.85,1483395,SACO OLIVEROS DE SAN MIGUEL,Privada,Privado,LIMA,SAN MIGUEL,JIRON LIBERTAD 1250,-12.08393,-77.09375
SISE COMAS,4.98,1483460,FRANCISCO PENZOTTI,Privada,Privado,LIMA,LOS OLIVOS,MZ A LOTE 24,-11.9669,-77.0795
SISE INDEPENDENCIA,3.4,1483460,FRANCISCO PENZOTTI,Privada,Privado,LIMA,LOS OLIVOS,MZ A LOTE 24,-11.9669,-77.0795
SISE COMAS,3.8,1483528,FRAY PEDRO URRACA,Privada,Privado,LIMA,INDEPENDENCIA,AVENIDA LOS AMAUTAS 215,-11.99257,-77.05182
SISE INDEPENDENCIA,0.86,1483528,FRAY PEDRO URRACA,Privada,Privado,LIMA,INDEPENDENCIA,AVENIDA LOS AMAUTAS 215,-11.99257,-77.05182
SISE SAN JUAN DE LURIGANCHO,4.09,1483544,BENJAMIN BARTON,Privada,Privado,LIMA,RIMAC,JIRON VIRU 565,-12.03866,-77.03498
SISE SANTA BEATRIZ,4.34,1483544,BENJAMIN BARTON,Privada,Privado,LIMA,RIMAC,JIRON VIRU 565,-12.03866,-77.03498
SISE COMAS,1.81,1483551,THALES DE MILETO SCHOOL,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA PACASMAYO 3302,-12.02798,-77.08122
SISE INDEPENDENCIA,4.82,1483551,THALES DE MILETO SCHOOL,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA PACASMAYO 3302,-12.02798,-77.08122
SISE COMAS,4.61,1483627,NUESTRA SE¥ORA DE LOURDES,Privada,Privado,LIMA,INDEPENDENCIA,AVENIDA NI¥OS MARTIRES 133,-11.990093,-77.044573
SISE INDEPENDENCIA,1.61,1483627,NUESTRA SE¥ORA DE LOURDES,Privada,Privado,LIMA,INDEPENDENCIA,AVENIDA NI¥OS MARTIRES 133,-11.990093,-77.044573
SISE COMAS,2.16,1483668,ALBERT EINSTEIN DE CAYRAN,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ A LOTE 2,-11.99422,-77.08935
SISE INDEPENDENCIA,3.29,1483668,ALBERT EINSTEIN DE CAYRAN,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ A LOTE 2,-11.99422,-77.08935
SISE COMAS,2.83,1483940,TOMAS ARIETA CRUZ,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA SANTA ROSA MZ A LOTE 07 ETAPA I,-11.993853,-77.099279
SISE INDEPENDENCIA,4.36,1483940,TOMAS ARIETA CRUZ,Privada,Privado,LIMA,SAN MARTIN DE PORRES,AVENIDA SANTA ROSA MZ A LOTE 07 ETAPA I,-11.993853,-77.099279
SISE COMAS,4.01,1483957,JAVIER HERAUD,Privada,Privado,LIMA,INDEPENDENCIA,JIRON RICARDO PALMA 173-177,-11.9925,-77.0496
SISE INDEPENDENCIA,1.09,1483957,JAVIER HERAUD,Privada,Privado,LIMA,INDEPENDENCIA,JIRON RICARDO PALMA 173-177,-11.9925,-77.0496
SISE COMAS,4.2,1484039,SAN LUIS DE BORJA,Privada,Privado,LIMA,INDEPENDENCIA,JIRON LOS CHANCAS 254,-11.9855,-77.05295
SISE INDEPENDENCIA,0.88,1484039,SAN LUIS DE BORJA,Privada,Privado,LIMA,INDEPENDENCIA,JIRON LOS CHANCAS 254,-11.9855,-77.05295
SISE INDEPENDENCIA,2.3,1484278,RICARDO PALMA,Privada,Privado,LIMA,INDEPENDENCIA,JIRON PALLCAMARCA 287,-11.97322,-77.0474
SISE COMAS,3.41,1484294,SANTA ROSA DE QUIVES,Privada,Privado,LIMA,LOS OLIVOS,CALLE FEDERICO VILLARREAL 150,-11.98257,-77.07094
SISE INDEPENDENCIA,1.52,1484294,SANTA ROSA DE QUIVES,Privada,Privado,LIMA,LOS OLIVOS,CALLE FEDERICO VILLARREAL 150,-11.98257,-77.07094
SISE COMAS,2.14,1484302,YACHAY WASI COMMUNITY COLLEGE,Privada,Privado,LIMA,LOS OLIVOS,AVENIDA ANTUNEZ DE MAYOLO 1084,-11.99369,-77.07377
SISE INDEPENDENCIA,1.61,1484302,YACHAY WASI COMMUNITY COLLEGE,Privada,Privado,LIMA,LOS OLIVOS,AVENIDA ANTUNEZ DE MAYOLO 1084,-11.99369,-77.07377
SISE INDEPENDENCIA,4.85,1484310,INNOVA VIGOTSKY SCHOOL,Privada,Privado,LIMA,SAN MARTIN DE PORRES,MZ E LOTE 13,-11.96581,-77.09631
SISE COMAS,1.64,1484377,SANTISIMO SACRAMENTO,Privada,Privado,LIMA,SAN MARTIN DE PORRES,JIRON PACASMAYO 3694,-12.02555,-77.08595
