sede_sise,distancia_km,cod_mod,nombre_colegio,gestion,tipo_gestion,provincia,distrito,direccion,latitud,longitud
SISE INDEPENDENCIA,4.45,0728576,VIRGEN DE GUADALUPE,Privada,Privado,CALLAO,CALLAO,MZ E-1 LOTE 8 - 9 ETAPA I,-12.01059,-77.09462
SISE COMAS,2.73,1098326,MADRE TERESA DE CALCUTA,Privada,Privado,CALLAO,CALLAO,URB. LOS JAZMINES MZ A LOTE 3 Y 4,-12.00773,-77.10553
SISE COMAS,1.68,1099316,LOS OLIVOS,Privada,Privado,CALLAO,CALLAO,CALLE LOS ALAMOS MZ G LOTE 18-19,-12.02196,-77.09209
SISE COMAS,4.31,1099555,SAN BENITO DE PALERMO,Privada,Privado,CALLAO,CALLAO,PASAJE CANADA MZ D1 LOTE 7-8,-11.99852,-77.11808
SISE COMAS,1.88,0880286,SAN IGNACIO DE LOYOLA,Privada,Privado,CALLAO,CALLAO,CALLE EUCARIS 164,-12.00991,-77.09796
SISE INDEPENDENCIA,4.73,0880286,SAN IGNACIO DE LOYOLA,Privada,Privado,CALLAO,CALLAO,CALLE EUCARIS 164,-12.00991,-77.09796
SISE COMAS,3.11,1098482,ALFREDO REBAZA ACOSTA DE LOS JAZMINES,Privada,Privado,CALLAO,CALLAO,MZ U LOTE 10 ZONA IV,-12.00359,-77.10818
SISE COMAS,1.93,1099357,FLORENCE NIGHTINGALE,Privada,Privado,CALLAO,CALLAO,CALLE GUSTAVO PONS MUSSO MZ A LOTE 2-3,-12.01716,-77.09765
SISE COMAS,3.53,0880245,REGINA PACIS,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,AVENIDA 1 DE MAYO 486,-12.04056,-77.09428
SISE SAN MIGUEL,4.72,0880245,REGINA PACIS,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,AVENIDA 1 DE MAYO 486,-12.04056,-77.09428
SISE COMAS,2.29,1099639,SAN LAZARO,Privada,Privado,CALLAO,CALLAO,COOP. ALBINO HERRERA PRIMERA ETAPA MZ H LOTE 20-21,-12.00885,-77.1016
SISE COMAS,2.47,0782227,JESUS SALVADOR,Privada,Privado,CALLAO,CALLAO,AVENIDA LOS DOMINICOS 1215,-12.0023,-77.10136
SISE INDEPENDENCIA,4.76,0782227,JESUS SALVADOR,Privada,Privado,CALLAO,CALLAO,AVENIDA LOS DOMINICOS 1215,-12.0023,-77.10136
SISE COMAS,1.67,0883793,SANTISIMA MARIA DE GUADALUPE,Privada,Privado,CALLAO,CALLAO,CALLE LOS FLAMENCOS 182,-12.01008,-77.09605
SISE INDEPENDENCIA,4.56,0883793,SANTISIMA MARIA DE GUADALUPE,Privada,Privado,CALLAO,CALLAO,CALLE LOS FLAMENCOS 182,-12.01008,-77.09605
SISE COMAS,2.91,0583161,SANTA CRUZ,Privada,Privado,CALLAO,CALLAO,AVENIDA QUILCA 6TA CDRA S/N,-12.03214,-77.09748
SISE SAN MIGUEL,4.49,1083708,KAREN HORNEY,Privada,Privado,CALLAO,BELLAVISTA,CALLE VALLE RIESTRA 385,-12.06045,-77.11358
SISE COMAS,1.71,0705780,NI¥O JESUS DE PRAGA,Privada,Privado,CALLAO,CALLAO,CALLE CESAR VALLEJO MZ G LOTE 1-5,-12.01704,-77.09554
SISE INDEPENDENCIA,4.93,0705780,NI¥O JESUS DE PRAGA,Privada,Privado,CALLAO,CALLAO,CALLE CESAR VALLEJO MZ G LOTE 1-5,-12.01704,-77.09554
SISE COMAS,1.86,0478479,JUAN INGUNZA VALDIVIA,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA NENUFARES 401,-12.01202,-77.0979
SISE INDEPENDENCIA,4.84,0478479,JUAN INGUNZA VALDIVIA,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA NENUFARES 401,-12.01202,-77.0979
SISE COMAS,1.13,0782078,5085 RAMIRO PRIALE PRIALE,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE LOS FAISANES CUADRA 1 MZ O,-12.01514,-77.09056
SISE INDEPENDENCIA,4.38,0782078,5085 RAMIRO PRIALE PRIALE,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE LOS FAISANES CUADRA 1 MZ O,-12.01514,-77.09056
SISE COMAS,3.05,1195239,JOSE MARIA ESCRIVA DE BALAGUER,Privada,Privado,CALLAO,CALLAO,CALLE MARTE 175,-12.03502,-77.09557
SISE COMAS,4.81,0582866,4018 ABRAHAM VALDELOMAR,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA PROCERES S/N,-12.04283,-77.11144
SISE COMAS,4.15,0209510,POLITECNICO NACIONAL DEL CALLAO,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA ELMER FAUCETT S/N,-12.044294,-77.099361
SISE SAN MIGUEL,4.61,0209510,POLITECNICO NACIONAL DEL CALLAO,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA ELMER FAUCETT S/N,-12.044294,-77.099361
SISE SAN MIGUEL,4.89,1083864,EL FUNDAMENTO,Privada,Privado,CALLAO,LA PERLA,AVENIDA SANTA ROSA 405,-12.06899,-77.12096
SISE SAN MIGUEL,3.89,0664664,SANTA MARIA REYNA DE LOS ANGELES,Privada,Privado,CALLAO,LA PERLA,JIRON UCAYALI 195,-12.07202,-77.11222
SISE COMAS,3.92,1097922,JERUSALEN,Privada,Privado,CALLAO,CALLAO,AVENIDA MORALES DUAREZ MZ 2U,-12.04123,-77.10048
SISE SAN MIGUEL,4.96,1097922,JERUSALEN,Privada,Privado,CALLAO,CALLAO,AVENIDA MORALES DUAREZ MZ 2U,-12.04123,-77.10048
SISE COMAS,1.26,1099670,NUESTRA SE¥ORA DE BELEN,Privada,Privado,CALLAO,CALLAO,CALLE LAS HIEDRAS,-12.01647,-77.09123
SISE INDEPENDENCIA,4.53,1099670,NUESTRA SE¥ORA DE BELEN,Privada,Privado,CALLAO,CALLAO,CALLE LAS HIEDRAS,-12.01647,-77.09123
SISE COMAS,2.92,0601518,TUPAC AMARU,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,LOPEZ PAZOS,-12.03774,-77.08447
SISE SAN MIGUEL,4.73,0601518,TUPAC AMARU,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,LOPEZ PAZOS,-12.03774,-77.08447
SISE SAN MIGUEL,4.67,1085661,PADRE ETERNO,Privada,Privado,CALLAO,BELLAVISTA,AVENIDA COLONIAL 2756,-12.05701,-77.11346
SISE SAN MIGUEL,3.01,1189505,VIRGEN DEL ROSARIO,Privada,Privado,CALLAO,BELLAVISTA,CALLE SEBASTIAN BARRANCA 209,-12.05689,-77.09229
SISE SAN MIGUEL,3.24,1083542,SANTISIMA TRINIDAD,Privada,Privado,CALLAO,BELLAVISTA,URB. SAGRADA FAMILIA MZ E LOTE 13,-12.06239,-77.10133
SISE SAN MIGUEL,3.37,0656421,MARISCAL SANTA CRUZ,Privada,Privado,CALLAO,BELLAVISTA,AVENIDA SAN JOSE 289,-12.05494,-77.09523
SISE COMAS,1.67,1194398,SAN MARCOS,Privada,Privado,CALLAO,CALLAO,MZ B1 LOTE 22 ETAPA I,-12.01035,-77.09608
SISE INDEPENDENCIA,4.57,1194398,SAN MARCOS,Privada,Privado,CALLAO,CALLAO,MZ B1 LOTE 22 ETAPA I,-12.01035,-77.09608
SISE SAN MIGUEL,4.66,1222355,PORTADORES DE LUZ,Privada,Privado,CALLAO,BELLAVISTA,CALLE ALBERTO SABOGAL 136,-12.05805,-77.11405
SISE SAN MIGUEL,4.95,0210443,CONCORDIA UNIVERSAL,Privada,Privado,CALLAO,LA PERLA,AVENIDA SANTA ROSA 448,-12.06908,-77.12146
SISE SAN MIGUEL,2.97,1222074,INGENIERIA BELLAVISTA,Privada,Privado,CALLAO,BELLAVISTA,JIRON SEBASTIAN BARRANCA 348,-12.0581,-77.09343
SISE COMAS,1.84,1221472,FRANCISCO DE ZELA,Privada,Privado,CALLAO,CALLAO,AVENIDA NENUFARES 382,-12.01256,-77.09765
SISE INDEPENDENCIA,4.85,1221472,FRANCISCO DE ZELA,Privada,Privado,CALLAO,CALLAO,AVENIDA NENUFARES 382,-12.01256,-77.09765
SISE SAN MIGUEL,4.51,1221555,JESUS MAESTRO,Privada,Privado,CALLAO,BELLAVISTA,VALLE RIESTRA 250,-12.05987,-77.11347
SISE SAN MIGUEL,4.51,1221431,LOS LIBERTADORES,Privada,Privado,CALLAO,LA PERLA,JIRON DOS DE MAYO 701,-12.06962,-77.11743
SISE SAN MIGUEL,4.51,0582742,SAN JOSE,Privada,Privado,CALLAO,LA PERLA,JIRON MARISCAL R. CASTILLA CUADRA 8,-12.06897,-77.11733
SISE COMAS,1.7,0659896,5074 ALCIDES SPELUCIN VEGA,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE 7 S/N,-12.00959,-77.09624
SISE INDEPENDENCIA,4.55,0659896,5074 ALCIDES SPELUCIN VEGA,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE 7 S/N,-12.00959,-77.09624
SISE SAN MIGUEL,4.64,1228956,EURO HIGH SCHOOL,Privada,Privado,CALLAO,BELLAVISTA,CALLE JOSE PARODI 431,-12.05724,-77.11323
SISE SAN MIGUEL,4.38,1191584,NUESTRA SE¥ORA DE FATIMA,Privada,Privado,CALLAO,LA PERLA,AVENIDA MARISCAL CASTILLA 951 MZ B-3 LOTE 11,-12.06959,-77.11624
SISE COMAS,1.94,1098284,JESUS DIVINO MAESTRO,Privada,Privado,CALLAO,CALLAO,AVENIDA LOS NENUFARES 614,-12.01068,-77.09856
SISE INDEPENDENCIA,4.83,1098284,JESUS DIVINO MAESTRO,Privada,Privado,CALLAO,CALLAO,AVENIDA LOS NENUFARES 614,-12.01068,-77.09856
SISE COMAS,4.89,1239789,JORDAN DE JESUS,Privada,Privado,CALLAO,CALLAO,CALLE 200 MILLAS,-11.99636,-77.12294
SISE COMAS,2.47,1238427,JUAN BAUTISTA,Privada,Privado,CALLAO,CALLAO,CALLE ALFA SECTOR 3 MZ D4,-12.02724,-77.09703
SISE COMAS,4.55,1262740,PARADISE HOME SCHOOL,Privada,Privado,CALLAO,CALLAO,ALONSO MARTIN DE BENITO,-12.05041,-77.0942
SISE SAN MIGUEL,3.74,1262740,PARADISE HOME SCHOOL,Privada,Privado,CALLAO,CALLAO,ALONSO MARTIN DE BENITO,-12.05041,-77.0942
SISE COMAS,4.98,1262781,MARIA REINA DE CORAZONES,Privada,Privado,CALLAO,CALLAO,SANTA CRUZ MZ X LOTE 20,-12.04606,-77.11013
SISE SAN MIGUEL,3.58,1381383,VIRGEN DE LA ESPERANZA,Privada,Privado,CALLAO,LA PERLA,CALLE MADRID 156,-12.07354,-77.10963
SISE SAN MIGUEL,3.89,1381441,CRISTO VICTORIOSO,Privada,Privado,CALLAO,BELLAVISTA,AVENIDA DOS MZ T2 LOTE 12,-12.06255,-77.10851
SISE SAN MIGUEL,3.5,1099654,LICEO NAVAL CAPITAN DE NAVIO GERMAN ASTETE,P£blica de gesti¢n directa,Público,CALLAO,LA PERLA,CALLE GRITOS DE HUAURA 310,-12.06667,-77.10662
SISE COMAS,2.85,1266840,5126,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE SEXTA S/N,-12.00561,-77.10623
SISE SAN MIGUEL,4.29,1381664,MI AMIGO JESUS,Privada,Privado,CALLAO,LA PERLA,AVENIDA PACIFICO 138,-12.07163,-77.11591
SISE COMAS,1.73,1381680,SENOR DE GUALAMITA,Privada,Privado,CALLAO,CALLAO,CALLE LAS MAGNOLIAS 1,-12.01292,-77.09663
SISE INDEPENDENCIA,4.77,1381680,SENOR DE GUALAMITA,Privada,Privado,CALLAO,CALLAO,CALLE LAS MAGNOLIAS 1,-12.01292,-77.09663
SISE SAN MIGUEL,4.68,1381821,JESUS ES MI LUZ,Privada,Privado,CALLAO,CALLAO,CALLE 5 MZ P1 LOTE 25,-12.0558,-77.11271
SISE COMAS,4.67,0764928,2093 SANTA ROSA,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,AVENIDA LA REGLA MZ D,-11.989659,-77.117276
SISE SAN MIGUEL,4.75,1381946,SARITA COLONIA ZAMBRANO,Privada,Privado,CALLAO,CALLAO,LOS PILARES MZ B LOTE 1,-12.05401,-77.11226
SISE SAN MIGUEL,3.39,1382142,MARISCAL ANDRES AVELINO CACERES,Privada,Privado,CALLAO,LA PERLA,JIRON CONTRALMIRANTE LIZARDO MONTERO 290,-12.06864,-77.10637
SISE COMAS,2.4,1382381,THALES DE MILETO,Privada,Privado,CALLAO,CALLAO,CALLE 7 S/N MZ N LOTE 24,-12.00908,-77.1027
SISE SAN MIGUEL,3.84,1382910,EUROAMERICA,Privada,Privado,CALLAO,LA PERLA,AVENIDA HAYA DE LA TORRE 709,-12.073953,-77.112102
SISE COMAS,4.69,1383165,LA SAGRADA FAMILIA DEL CALLAO,Privada,Privado,CALLAO,CALLAO,AVENIDA ARGENTINA 4266,-12.0489,-77.10106
SISE SAN MIGUEL,4.29,1383165,LA SAGRADA FAMILIA DEL CALLAO,Privada,Privado,CALLAO,CALLAO,AVENIDA ARGENTINA 4266,-12.0489,-77.10106
SISE COMAS,2.44,1383199,5139 LAS COLINAS,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE 8 Y 10 S/N,-12.00322,-77.1015
SISE INDEPENDENCIA,4.8,1383199,5139 LAS COLINAS,P£blica de gesti¢n directa,Público,CALLAO,CALLAO,CALLE 8 Y 10 S/N,-12.00322,-77.1015
SISE COMAS,4.92,1383819,HONORES OQUENDO,Privada,Privado,CALLAO,CALLAO,AVENIDA LOS ALISOS MZ A LOTE 8-18,-11.97957,-77.11181
SISE COMAS,3.73,1384221,B. GROUP,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,AVENIDA MANCO CAPAC 245-241,-12.04137,-77.09671
SISE SAN MIGUEL,4.75,1384221,B. GROUP,Privada,Privado,CALLAO,CARMEN DE LA LEGUA REYNOSO,AVENIDA MANCO CAPAC 245-241,-12.04137,-77.09671
SISE COMAS,4.82,1384387,NEIL ARMSTRONG SCHOOL,Privada,Privado,CALLAO,CALLAO,JIRON JOSE CARLOS MARIATEGUI MZ F LOTE 27 ZONA 4,-12.0451,-77.10904
SISE COMAS,4.95,1384411,MARIA INMACULADA DE SAN JOSE,Privada,Privado,CALLAO,BELLAVISTA,CALLE JUAN SALCEDO 260,-12.05485,-77.09187
SISE SAN MIGUEL,3.18,1384411,MARIA INMACULADA DE SAN JOSE,Privada,Privado,CALLAO,BELLAVISTA,CALLE JUAN SALCEDO 260,-12.05485,-77.09187
SISE ATE,4.64,1076579,20955-2 NACIONES UNIDAS,P£blica de gesti¢n directa,Público,HUAROCHIRI,SAN ANTONIO,JIRON LAS PONCEANAS S/N MZ A,-11.979292,-76.910761
SISE SAN JUAN DE MIRAFLORES,1.01,1071398,SANTA URSULA,Privada,Privado,LIMA,SAN JUAN DE MIRAFLORES,JIRON FELIPE OLIVA 183 MZ A LOTE 24,-12.15147,-76.97427
SISE SURCO,1.6,1071398,SANTA URSULA,Privada,Privado,LIMA,SAN JUAN DE MIRAFLORES,JIRON FELIPE OLIVA 183 MZ A LOTE 24,-12.15147,-76.97427
SISE SAN JUAN DE MIRAFLORES,1.38,1193945,PAULO FREIRE,Privada,Privado,LIMA,SAN JUAN DE MIRAFLORES,JIRON JUAN NEYRA 349 MZ M LOTE 11,-12.14853,-76.97653
SISE SURCO,1.27,1193945,PAULO FREIRE,Privada,Privado,LIMA,SAN JUAN DE MIRAFLORES,JIRON JUAN NEYRA 349 MZ M LOTE 11,-12.14853,-76.97653
SISE SAN JUAN DE MIRAFLORES,2.54,1193820,MIGUEL GRAU,Privada,Privado,LIMA,SAN JUAN DE MIRAFLORES,MIGUEL GRAU,-12.13911,-76.9652
SISE SURCO,2.59,1193820,MIGUEL GRAU,Privada,Privado,LIMA,SAN JUAN DE MIRAFLORES,MIGUEL GRAU,-12.13911,-76.9652
SISE VILLA EL SALVADOR,3.59,0874537,CRISTO EL SALVADOR,Privada,Privado,LIMA,VILLA EL SALVADOR,LOTE 2 SECTOR 3,-12.22343,-76.93093
